Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
9549746,A Visit from the Goon Squad,Jennifer Egan,"Egan, Jennifer",,"=""0307477479""","=""9780307477477""",4,3.64,Anchor Books,Paperback,341,2011,2010,2017/07/24,2017/09/18,,,read,"Sorry, my review is not at all helpful -> here <a href=""https://www.goodreads.com/review/show/95456142?book_show_action=true&from_review_page=1"">read this one instead</a>.<br/><br/>Not the kind of story I normally like, it's a pop culture shit show kind of. The story centers on the music industry, douchey guys taking advantage of obnoxious girls, drugs, more dicks, and eventually their friends, children, etc. And yet it was a page turner, and it was interesting, and there were snippets that I really enjoyed. <br/><br/>",,,1,,,0,,,,,
18635092,The Truth is a Cave in the Black Mountains,Neil Gaiman,"Gaiman, Neil",Eddie Campbell,"=""006228214X""","=""9780062282149""",3,3.96,William Morrow,Hardcover,74,2014,2010,2017/08/29,2017/09/18,,,read,"Highly recommend the audiobook version (which Gaiman read himself *and* it includes tension building awesome musical accompaniment). It is a pretty short story, spooky and fun, perfect for a road trip.",,,1,,,0,,,,,
30555488,The Underground Railroad,Colson Whitehead,"Whitehead, Colson",,"=""0385542364""","=""9780385542364""",0,4.04,Doubleday Books,Hardcover,306,2016,2016,,2017/09/18,abandoned,abandoned (#22),abandoned,,,,0,,,0,,,,,
6916961,Although of Course You End Up Becoming Yourself: A Road Trip with David Foster Wallace,David Lipsky,"Lipsky, David",,"=""030759243X""","=""9780307592439""",3,3.89,Broadway,Paperback,320,2010,2010,2017/09/08,2017/09/18,,,read,"I revisit ""This is Water"" often and love talking to other people who have read David Foster Wallace's cruise ship piece. I wasn't sure about a book <i>about</i> him though, that seemed like it might be weird, but I had many hours of flights ahead of me, so I was downloading every even slightly interesting looking audiobook from the library to prepare.<br/><br/>And this was really interesting, not the parts where they talked about movies and sports, but the parts where they talked about the future of literature, technology, and the human condition. I could hear a lot of the ideas that would eventually become ""This is Water"" in the initial forms here.<br/><br/>If you aren't already a fan of Wallace this would probably just be weird, if you are it delivers a lot of his wit and weirdness.<br/><br/><blockquote><br/>I think every generation finds new excuses for why people behave in basically ugly manner. The only constant is the bad behavior. And our excuse now is technology.<br/></blockquote>",,,1,,,0,,,,,
32075825,The Rise and Fall of D.O.D.O.,Neal Stephenson,"Stephenson, Neal",Nicole Galland,"=""0062409166""","=""9780062409164""",0,3.97,William Morrow & Company,Hardcover,752,2017,2017,,2017/09/18,abandoned,abandoned (#21),abandoned,,,,0,,,0,,,,,
23298123,The Face,Ruth Ozeki,"Ozeki, Ruth",,"=""""","=""9781632060150""",0,4.10,Restless Books,ebook,,2015,2015,,2017/09/18,to-read,to-read (#80),to-read,,,,0,,,0,,,,,
13330433,"The Democracy Project: A History, a Crisis, a Movement",David Graeber,"Graeber, David",,"=""081299356X""","=""9780812993561""",4,4.05,Spiegel & Grau,Hardcover,352,2013,2012,2017/08/10,2017/09/18,,,read,"If you're curious about Occupy Wall Street, what the heck those people hoped to accomplish, and where their ideas were coming from this is a great book to pick up. I found a lot of inspiration in the pages and (as is typical of David Graeber) several newly pointed out problems to avoid.<br/><br/>One of my favorite sections in the book closely resembles <a href=""http://www.aljazeera.com/indepth/opinion/2011/11/2011112872835904508.html"">this</a> piece if you want to get a taste.<br/><br/>On Marxism and other socialist reforms:<br/><blockquote><br/>Even back in the 19th century, anarchists argued that this was a pipe dream. One cannot, they argued, create peace by training for war, equality by creating top-down chains of command, or, for that matter, human happiness by becoming grim joyless revolutionaries who sacrifice all personal self-realisation or self-fulfillment to the cause.<br/><br/>It's not just that the ends do not justify the means (though they don't), you will never achieve the ends at all unless the means are themselves a model for the world you wish to create.<br/></blockquote><br/><br/>That rang very true to me, that the means themselves must be a model for the world we wish to create.",,,1,,,0,,,,,
31945158,Trinidad Noir: The Classics,Earl Lovelace,"Lovelace, Earl",Robert Antoni,"=""1617754358""","=""9781617754357""",0,4.00,Akashic Books,Paperback,256,2017,,,2017/09/18,abandoned,abandoned (#20),abandoned,,,,0,,,0,,,,,
28748,The Very Persistent Gappers of Frip,George Saunders,"Saunders, George",Lane Smith,"=""1932416374""","=""9781932416374""",5,4.10,McSweeney's,Hardcover,84,2006,2000,2017/07/25,2017/09/18,,,read,"A child friendly introduction to luck, privilege, and compassion. Good for adults too TBH. The book is beautifully done and the story is very warm and light hearted.",,,1,,,0,,,,,
32171778,Threads: From the Refugee Crisis,Kate   Evans,"Evans, Kate",,"=""1786631733""","=""9781786631732""",5,4.20,Verso,Hardcover,176,2017,,2017/07/22,2017/09/18,,,read,"Kate Evans is brilliant (I'm just going to keep saying this). I shared a few images from Threads on <a href=""https://twitter.com/lashleigh/status/893961252023742465"">twitter</a> previously.<br/><br/>The visual investigative journalist is a powerful thing, she isn't just reporting on abstract data, this is stories from her first hand experience trying to help refugees and it is really powerful.",,,1,,,0,,,,,
