Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17470674,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0007491565""","=""9780007491568""",0,3.97,Harper Voyager,Hardcover,227,2013,1953,,2016/03/14,to-read,to-read (#8),to-read,,,,,,,0,,,,,
22318578,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,"Kondō, Marie",Cathy Hirano,"=""1607747308""","=""9781607747307""",0,3.77,Ten Speed Press,Hardcover,213,2014,2011,2016/02/13,2016/03/13,,,read,I did enjoy skimming this book. It ended up serving more as an interesting window into a section of Japanese society than it did as a tidying guide.,,,,,,0,,,,,
16190817,"Why Managing Sucks and How to Fix It: A Results-Only Guide to Taking Control of Work, Not People",Cali Ressler,"Ressler, Cali",Jody Thompson,"=""1118426363""","=""9781118426364""",3,3.69,John Wiley & Sons,Hardcover,278,2013,2013,2016/03/01,2016/03/13,,,read,"""Manage the work, not the people""<br/><br/>It seems so obvious, but when I was made a managers I had all kinds of concerns about how to 'motivate and empower people'. Further reading has shown me that all motivation that matters is intrinsic anyway; so all you can really do is create an autonomy supportive environment with clear metrics for success, provide encouragement, and maintain that environment. Then let people get on with their work. Any confusion still going on in my brain about what it meant to be a manager was cleared up with those 6 words.<br/><br/>I wasn't very fond of the style of the book (tedious use of dictionary definitions for one thing), but it is a quick read, and there are some gems.",,,,,,0,,,,,
13588394,The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,Nate Silver,"Silver, Nate",,"=""159420411X""","=""9781594204111""",3,3.96,Penguin,Hardcover,544,2012,2012,2016/03/21,2016/03/13,,,read,"There are a lot of interesting ideas, but the parts I really liked are accessible in books like ""Thinking Fast and Slow"" without requiring me to pay attention to (what felt like) endless pages of baseball stats. If you happen to really like baseball, gambling, politics, and statistics you will probably really enjoy this book.",,,,,,0,,,,,
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0061120081""","=""9780061120084""",5,4.25,Harper Perennial Modern Classics,Paperback,324,2006,1960,2016/03/03,2016/03/13,,,read,,,,,,,0,,,,,
178462,To Be a Slave,Julius Lester,"Lester, Julius",Tom Feelings,"=""0141310014""","=""9780141310015""",5,3.82,Puffin Books,Paperback,160,2000,1968,2016/03/11,2016/03/13,race-education,race-education (#3),read,,,,,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.08,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,2016/03/30,2016/03/02,,,read,,,,,,,0,,,,,
18693655,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,"Oakley, Barbara",,"=""039916524X""","=""9780399165245""",4,4.22,Tarcher/Penguin,Paperback,306,2014,2014,2016/03/07,2016/02/21,,,read,,,,,,,0,,,,,
1595177,The Adventures of Johnny Bunko: The Last Career Guide You'll Ever Need,Daniel H. Pink,"Pink, Daniel H.",,"=""1594482918""","=""9781594482915""",0,3.75,Riverhead Books,Paperback,160,2008,2008,2016/02/20,2016/02/21,,,read,"Highly recommended for the visual learners out there, much of the content from Pink's ""Drive"" condensed into one delightful comic book style story that takes ~30 minutes to read.<br/><br/>I'm really not sure what to rate this book, it is really creative and I could easily see it being a 5 to some people. It is short and simple, and that is part of the genius, Pink has taken something with a huge amount of research behind it and made it easy for people to read. That said, I prefer digging into the research, this is almost too short and too easy.",,,,,,0,,,,,
210509,Farewell to Manzanar and Related Readings (Farewell to Manzanar),Jeanne Wakatsuki Houston,"Houston, Jeanne Wakatsuki","McDougal Littell, James D. Houston","=""0395884551""","=""9780395884553""",0,3.40,McDougal Littell,Hardcover,0,1997,1997,,2016/02/21,to-read,to-read (#6),to-read,,,,,,,0,,,,,
6464060,Never Learn Anything From History,Kate Beaton,"Beaton, Kate",,"=""""","=""""",0,4.02,Topatoco.com,Paperback,68,2009,2009,,2016/02/19,to-read,to-read (#5),to-read,,,,,,,0,,,,,
16006353,The Infinite Wait and Other Stories,Julia Wertz,"Wertz, Julia",,"=""""","=""""",0,4.22,Koyama Press,,228,2012,2012,,2016/02/19,to-read,to-read (#4),to-read,,,,,,,0,,,,,
1054397,"Field Notes from a Catastrophe: Man, Nature, and Climate Change",Elizabeth Kolbert,"Kolbert, Elizabeth",,"=""1596911255""","=""9781596911253""",0,3.91,Bloomsbury USA,Hardcover,,2006,2006,,2016/02/17,,,read,,,,,,,0,,,,,
56153,QED: The Strange Theory of Light and Matter,Richard Feynman,"Feynman, Richard",A. Zee,"=""0691125759""","=""9780691125756""",4,4.23,Princeton University Press,Paperback,192,2006,1985,,2016/02/17,,,read,,,,,,,0,,,,,
2926211,Conformity and Conflict: Readings in Cultural Anthropology,David W. McCurdy,"McCurdy, David W.",,"=""0205354793""","=""9780205354795""",4,3.63,Allyn & Bacon,Paperback,464,2002,1977,,2016/02/17,,,read,,,,,,,0,,,,,
3158100,The Forest People,Colin M. Turnbull,"Turnbull, Colin M.",,"=""0671201530""","=""9780671201531""",4,3.91,Touchstone Books,Paperback,295,1983,1961,,2016/02/17,,,read,,,,,,,0,,,,,
8423493,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",2,4.30,Scholastic Press,Kindle Edition,403,2010,2009,,2016/02/17,,,read,,,,,,,0,,,,,
17333426,"Egghead: Or, You Can't Survive on Ideas Alone",Bo Burnham,"Burnham, Bo",Chance Bone,"=""1455519146""","=""9781455519149""",3,4.12,Grand Central Publishing,Hardcover,240,2013,2013,,2016/02/17,,,read,,,,,,,0,,,,,
17571564,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,"Brosh, Allie",,"=""1451666179""","=""9781451666175""",5,4.17,Touchstone,Paperback,371,2013,2013,,2016/02/17,,,read,,,,,,,0,,,,,
66354,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,"Csikszentmihalyi, Mihaly",,"=""0060920432""","=""9780060920432""",0,4.10,Harper Perennial,Paperback,303,1990,1990,,2016/02/17,abandoned,abandoned (#3),abandoned,,,,,,,0,,,,,
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles","Richard Maxwell, Hablot Knight Browne","=""0141439602""","=""9780141439600""",0,3.81,Penguin,Paperback,489,2003,1859,,2016/02/17,abandoned,abandoned (#1),abandoned,,,,,,,0,,,,,
255127,The Fifth Discipline: The Art & Practice of The Learning Organization,Peter M. Senge,"Senge, Peter M.",,"=""0385517254""","=""9780385517256""",4,3.93,Crown Business,Paperback,464,2006,1990,2016/05/14,2016/02/17,,,read,,,,,,,0,,,,,
32994,Maverick: The Success Story Behind the World's Most Unusual Workplace,Ricardo Semler,"Semler, Ricardo",,"=""0712678867""","=""9780712678865""",0,4.15,Random House,Paperback,336,2001,1988,,2016/02/17,hold,hold (#8),hold,,,,,,,0,,,,,
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield,"Pressfield, Steven",Robert McKee,"=""0446691437""","=""9780446691437""",0,4.07,Warner Books,Paperback,168,2003,2002,,2016/02/17,abandoned,abandoned (#4),abandoned,,,,,,,0,,,,,
541132,"Punished by Rewards: The Trouble with Gold Stars, Incentive Plans, A's, Praise and Other Bribes",Alfie Kohn,"Kohn, Alfie",,"=""0395710901""","=""9780395710906""",5,4.13,Mariner Books,Paperback,398,1995,1993,2016/02/21,2016/02/17,,,read,"This book blew my mind. If you've ever wanted to get someone to do something, definitely give this a read before the next time you try.<br/><br/><blockquote><br/>With respect to the workplace or public policy, we talk casually about the use of ""carrots and sticks"", and there is food for thought here too. Before these words came to be used as generic representations of bribes and threats, what actually stood between the carrot and the stick was, of course, a jackass.<br/>p.24<br/></blockquote>",,,,,,0,,,,,
18868057,The Amateurs: The Story of Four Young Men and Their Quest for an Olympic Gold Medal,David Halberstam,"Halberstam, David",,"=""""","=""""",0,4.00,Open Road Media,Kindle Edition,221,2012,1985,,2016/02/17,hold,hold (#6),hold,,,,,,,0,,,,,
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",0,4.10,"Little, Brown and Company",Hardcover,309,2008,2008,,2016/02/17,hold,hold (#5),hold,,,,,,,0,,,,,
66338,Good Work: When Excellence and Ethics Meet,Howard Gardner,"Gardner, Howard","Mihaly Csikszentmihalyi, William Damon","=""0465026087""","=""9780465026081""",0,3.77,Basic Books,Paperback,304,2002,2001,,2016/02/17,hold,hold (#1),hold,,,,,,,0,,,,,
40745,Mindset: The New Psychology of Success,Carol S. Dweck,"Dweck, Carol S.",,"=""1400062756""","=""9781400062751""",0,4.03,Random House,Hardcover,276,2006,2006,,2016/02/17,to-read,to-read (#3),to-read,,,,,,,0,,,,,
